par1,1,perception,F,0.01,4.0,82.53968253968253,50.92592592592593,44.44444444444444,33.33333333333333,61.111111111111114,38.888888888888886,33.333333333333336,75.0,10.0,15.0,
par1,1,perception,F,1.0,5.0,79.62962962962963,42.592592592592595,42.592592592592595,41.66666666666667,61.111111111111114,33.333333333333336,33.333333333333336,70.0,10.0,45.0,
par1,1,perception,F,2.0,6.0,70.37037037037037,37.96296296296296,35.18518518518518,41.66666666666667,5.555555555555555,61.111111111111114,38.888888888888886,30.0,50.0,45.0,
par1,1,perception,F,3.0,7.0,76.98412698412699,45.370370370370374,37.03703703703704,40.0,16.666666666666668,27.77777777777778,66.66666666666667,25.0,25.0,70.0,
par1,1,perception,F,4.0,8.0,80.42328042328042,38.88888888888889,35.18518518518518,38.333333333333336,11.11111111111111,72.22222222222223,22.22222222222222,5.0,75.0,35.0,
par1,1,perception,F,5.0,9.0,72.4867724867725,45.370370370370374,38.88888888888889,38.333333333333336,22.22222222222222,44.44444444444444,50.0,30.0,40.0,45.0,
par1,1,perception,F,6.0,10.0,84.65608465608466,37.03703703703704,33.33333333333333,16.666666666666664,5.555555555555555,55.55555555555556,38.888888888888886,5.0,25.0,20.0,
par1,1,perception,F,7.0,11.0,80.15873015873017,36.11111111111111,31.48148148148148,31.666666666666664,27.77777777777778,44.44444444444444,22.22222222222222,40.0,25.0,30.0,
par1,1,perception,F,8.0,12.0,86.5079365079365,38.88888888888889,50.0,50.0,72.22222222222223,44.44444444444444,33.333333333333336,70.0,50.0,30.0,
par1,1,perception,F,9.0,13.0,83.86243386243386,30.555555555555557,40.74074074074074,30.0,44.44444444444444,38.888888888888886,38.888888888888886,25.0,25.0,40.0,
par1,1,perception,F,10.0,14.0,85.44973544973546,49.074074074074076,40.74074074074074,35.0,33.333333333333336,44.44444444444444,44.44444444444444,65.0,15.0,25.0,
par1,1,perception,F,11.0,15.0,86.5079365079365,38.88888888888889,31.48148148148148,36.666666666666664,27.77777777777778,33.333333333333336,33.333333333333336,40.0,30.0,40.0,
par1,1,perception,F,12.0,16.0,80.42328042328042,40.74074074074074,27.77777777777778,38.333333333333336,16.666666666666668,50.0,16.666666666666668,40.0,60.0,15.0,
par1,1,perception,F,13.0,17.0,82.01058201058201,37.96296296296296,37.03703703703704,30.0,55.55555555555556,44.44444444444444,11.11111111111111,30.0,30.0,30.0,
